heat_id,helmet_colour,rider,gate_one,gate_two
1,red,home_rider_1,3,4
1,blue,home_rider_2,1,2
1,white,away_rider_1,4,3
1,yellow,away_rider_2,2,1
2,red,home_rider_6,2,1
2,blue,home_rider_7,4,3
2,white,away_rider_6,1,2
2,yellow,away_rider_7,3,4
3,red,home_rider_3,3,4
3,blue,home_rider_4,1,2
3,white,away_rider_3,2,1
3,yellow,away_rider_4,4,3
4,red,home_rider_5,3,4
4,blue,home_rider_7,1,2
4,white,away_rider_5,4,3
4,yellow,away_rider_7,2,1
5,red,home_rider_3,1,1
5,blue,home_rider_4,3,3
5,white,away_rider_1,2,4
5,yellow,away_rider_2,4,2
6,red,home_rider_1,1,2
6,blue,home_rider_2,3,4
6,white,away_rider_5,2,1
6,yellow,away_rider_6,4,3
7,red,home_rider_5,2,1
7,blue,home_rider_6,4,3
7,white,away_rider_3,1,2
7,yellow,away_rider_4,3,4
8,red,home_rider_2,4,3
8,blue,home_rider_7,2,1
8,white,away_rider_2,3,4
8,yellow,away_rider_7,1,2
9,red,home_rider_3,4,3
9,blue,home_rider_4,2,1
9,white,away_rider_5,1,2
9,yellow,away_rider_6,3,4
10,red,home_rider_1,4,3
10,blue,home_rider_2,2,1
10,white,away_rider_3,3,4
10,yellow,away_rider_4,1,2
11,red,home_rider_5,1,2
11,blue,home_rider_6,3,4
11,white,away_rider_1,2,1
11,yellow,away_rider_2,4,3
12,red,home_rider_3,1,2
12,blue,home_rider_7,3,4
12,white,away_rider_3,4,3
12,yellow,away_rider_6,2,1
13,red,home_rider_1,2,1
13,blue,home_rider_5,4,3
13,white,away_rider_1,1,2
13,yellow,away_rider_5,3,4
14,red,home_rider_4,3,4
14,blue,home_rider_6,1,2
14,white,away_rider_4,2,1
14,yellow,away_rider_7,4,3